Institution,Deutsche Übersetzung,Ort,Institutionstyp,Status,Land
Faculty of Theology Ranchi,,Ranchi (Jharkhand),Katholische Hochschule Kanonischen Rechts,H+,Indien
Fakir Mohan University,,Balasore (Odisha),State University,H+,Indien
FLAME University,,Pune (Maharashtra),Private University,H+,Indien
Footwear Design and Development Institute,,Noida (Uttar Pradesh),Institution of National Importance,H+,Indien
Forest Research Institute,,Dehradun (Uttarakhand),Deemed to be University,H+,Indien
FS University,,Shikohabad (Uttar Pradesh),Status ungeklärt,H +/-,Indien
G.H. Raisoni University,,Chhindwara (Madhya Pradesh),Status ungeklärt,H +/-,Indien
G.H. Raisoni University,,Amravati (Maharashtra),Status ungeklärt,H +/-,Indien
Galgotias University,,Greater Noida (Uttar Pradesh),Private University,H+,Indien
Gandhi Hindi Vidyapith,,Allahabad (Uttar Pradesh),Nicht anerkannte Hochschule,H -,Indien
Gandhi Institute of Engineering & Technology University,,Gunupur (Odisha),Private University,H+,Indien
Gandhi Institute of Technology and ManagementGandhi Institute of Technology And Management,,Visakhapatnam (Andhra Pradesh),Deemed to be University,H+,Indien
Gandhigram Rural Institute,,Gandhigram (Tamil Nadu),Deemed to be University,H+,Indien
Gandhinagar UniversityGandhinagar Institute of Technology,,Gandhinagar (Gujarat),Status ungeklärt,H +/-,Indien
Gangadhar Meher University,,Sambalpur (Odisha),State University,H+,Indien
Ganpat University,,Mehsana (Gujarat),Private University,H+,Indien
Garden City University,,Bangalore (Karnataka),Status ungeklärt,H +/-,Indien
Gauhati University,,Guwahati (Assam),State University,H+,Indien
Gautam Buddha University,,Greater Noida (Uttar Pradesh),State University,H+,Indien
GD Goenka University,,Gurugram (Haryana),Private University,H+,Indien
Geeta University,,Panipat (Haryana),Status ungeklärt,H +/-,Indien
Geetanjali University,,Udaipur (Rajasthan),Private University,H+,Indien
GLA University,,Mathura (Uttar Pradesh),Private University,H+,Indien
Global Open University,,Dimapur (Nagaland),Status ungeklärt,H +/-,Indien
Glocal University,,Saharanpur (Uttar Pradesh),Status ungeklärt,H +/-,Indien
GLS University,,Ahmedabad (Gujarat),Private University,H+,Indien
GNA University,,Phagwara (Punjab),Private University,H+,Indien
Goa University,,Taleigao (Goa),State University,H+,Indien
Gokhale Institute of Politics and Economics,,Pune (Maharashtra),Deemed to be University,H+,Indien
Gokul Global University,,Siddhpur (Gujarat),Private University,H+,Indien
Gondwana University,,Gadchiroli (Maharashtra),State University,H+,Indien
Gopal Narayan Singh University,,Rohtas (Bihar),Private University,H+,Indien
Govind Ballabh Pant University of Agriculture and Technology,,Pantnagar (Uttarakhand),State University,H+,Indien
Govind Guru Tribal UniversityRajiv Gandhi Tribal University,,Banswara (Rajasthan),State University,H+,Indien
Graphic Era Deemed to be University,,Dehradun (Uttarakhand),Deemed to be University,H+,Indien
Graphic Era Hill UniversityGraphic Era Parvatiya Vishwavidyalaya,,Dehradun (Uttarakhand),Private University,H+,Indien
GSFC University,,Vadodara (Gujarat),Private University,H+,Indien
Gujarat University,,Ahmedabad (Gujarat),State University,H+,Indien
Gujarat Ayurved University,,Jamnagar (Gujarat),State University,H+,Indien
Gujarat Biotechnology University,,Gandhinagar (Gujarat),State University,H+,Indien
Gujarat Maritime University,,Gandhinagar (Gujarat),Status ungeklärt,H +/-,Indien
Gujarat National Law University,,Gandhinagar (Gujarat),State University,H+,Indien
Gujarat Technological University,,Ahmedabad (Gujarat),State University,H+,Indien
Gujarat University of Transplantation Sciences,,Ahmedabad (Gujarat),State University,H+,Indien
Gujarat Vidyapith,,Ahmedabad (Gujarat),Deemed to be University,H+,Indien
Gulbarga University,,Gulbarga (Karnataka),State University,H+,Indien
Guru Angad Dev Veterinary & Animal Sciences University,,Ludhiana (Punjab),State University,H+,Indien
Guru Ghasidas University,,Bilaspur (Chhattisgarh),Central University,H+,Indien
Guru Gobind Singh Indraprastha UniversityIndraprastha University,,New Delhi (Delhi),State University,H+,Indien
Guru Jambheshwar University of Science and Technology,,Hisar (Haryana),State University,H+,Indien
Guru Kashi University,,Bathinda (Punjab),Private University,H+,Indien
Guru Nanak Dev University,,Amritsar (Punjab),State University,H+,Indien
Guru Ravidas Ayurved University,,Hoshiarpur (Punjab),State University,H+,Indien
Gurugram University,,Gurugram (Haryana),State University,H+,Indien
Gurukul Vishwavidyalaya,,Vrindawan (Uttar Pradesh),Nicht anerkannte Hochschule,H -,Indien
Gurukula Kangri Vishwavidyalaya,,Haridwar (Uttarakhand),Deemed to be University,H+,Indien
Handwriting University India,,Bangalore (Karnataka),Nicht anerkannte Hochschule,H -,Indien
Harcourt Butler Technical University,,Kanpur (Uttar Pradesh),State University,H+,Indien
Harichand Guruchand University,,Parganas (West Bengal),State University,H+,Indien
Haridev Joshi University of Journalism and Mass Communication,,Jaipur (Rajasthan),State University,H+,Indien
Hassan University,,Hassan (Karnataka),State University,H+,Indien
Haveri University,,Haveri (Karnataka),State University,H+,Indien
Hemchand Yadav VishwavidyalayaDurg VishwavidyalayaDurg University,,Durg (Chhattisgarh),State University,H+,Indien
Hemchandracharya North Gujarat UniversityNorth Gujarat University,,Patan (Gujarat),State University,H+,Indien
Hemvati Nandan Bahuguna Garhwal University,,Srinagar (Uttarakhand),Central University,H+,Indien
Hemwati Nandan Bahuguna Uttarakhand Medical Education University,,Dehradun (Uttarakhand),State University,H+,Indien
Hidayatullah National Law University,,Raipur (Chhattisgarh),State University,H+,Indien
Himachal Pradesh National Law University,,Shimla (Himachal Pradesh),State University,H+,Indien
Himachal Pradesh Technical University,,Hamirpur (Himachal Pradesh),State University,H+,Indien
Himachal Pradesh University,,Shimla (Himachal Pradesh),State University,H+,Indien
Himalayan University,,Itanagar (Arunachal Pradesh),Status ungeklärt,H +/-,Indien
Himalayiya University,,Dehradun (Uttarakhand),Status ungeklärt,H +/-,Indien
Hindi University,,Howrah (West Bengal),State University,H+,Indien
Hindustan Institute of Technology & Science,,Chennai (Tamil Nadu),Deemed to be University,H+,Indien
Hindustan Sarva Vidhyapeeth,,Perundurai (Tamil Nadu),Nicht anerkannte Hochschule,H -,Indien
Homi Bhabha National Institute,,Mumbai (Maharashtra),Deemed to be University,H+,Indien
Homoeopathy University,,Jaipur (Rajasthan),Private University,H+,Indien
HSNC University MumbaiHyderabad (SIND) National Collegiate University,,Mumbai (Maharashtra),State University,H+,Indien
I. K. Gujral Punjab Technical UniversityPunjab Technical University (veralteter Name),,Jalandhar (Punjab),State University,H+,Indien
ICAR-Indian Veterinary Research Institute,,Izatnagar (Uttar Pradesh),Deemed to be University,H+,Indien
ICFAI Foundation for Higher Education,,Hyderabad (Telangana),Deemed to be University,H+,Indien
ICFAI UniversityInstitute of Chartered Financial Analysts of India University,,Dehradun (Uttarakhand),Private University,H+,Indien
ICFAI UniversityInstitute of Chartered Financial Analysts of India University,,Tura (Meghalaya),Status ungeklärt,H +/-,Indien
ICFAI UniversityInstitute of Chartered Financial Analysts of India University,,Aizawl (Mizoram),Status ungeklärt,H +/-,Indien
ICFAI UniversityInstitute of Chartered Financial Analysts of India University,,Dimapur (Nagaland),Status ungeklärt,H +/-,Indien
ICFAI UniversityInstitute of Chartered Financial Analysts of India University,,Gangtok (Sikkim),Private University,H+,Indien
ICFAI UniversityInstitute of Chartered Financial Analysts of India University,,Agartala (Tripura),Private University,H+,Indien
Indian Institute of Technology Tirupati,,Tirupati (Andhra Pradesh),Institution of National Importance,H+,Indien
Indian Maritime University,,Chennai (Tamil Nadu),Central University,H+,Indien
Indian Statistical Institute,,Kolkata (West Bengal),Institution of National Importance,H+,Indien
Indira Gandhi Delhi Technical University for WomenIndira Gandhi Institute of Technology,,New Delhi (Delhi),State University,H+,Indien
Indira Gandhi Institute of Development Research,,Mumbai (Maharashtra),Deemed to be University,H+,Indien
Indira Gandhi Institute of Medical Sciences,,Patna (Bihar),"Institution, staatlich anerkannt",H+,Indien
Indira Gandhi Krishi Vishwavidyalaya,,Raipur (Chhattisgarh),State University,H+,Indien
Indira Gandhi National Open University,,New Delhi (Delhi),Central University,H+,Indien
Indira Gandhi University,,Rewari (Haryana),State University,H+,Indien
Indira Kala Sangit Vishwavidyalaya,,Khairagarh (Chhattisgarh),State University,H+,Indien
Indraprastha Institute of Information Technology,,New Delhi (Delhi),State University,H+,Indien
Indraprastha Shiksha Parishad,,Noida (Uttar Pradesh),Nicht anerkannte Hochschule,H -,Indien
Indrashil University,,Ahmedabad (Gujarat),Status ungeklärt,H +/-,Indien
Indus International University,,Una (Himachal Pradesh),Private University,H+,Indien
Indus University,,Ahmedabad (Gujarat),Private University,H+,Indien
Institute of Liver and Biliary Sciences,,New Delhi (Delhi),Deemed to be University,H+,Indien
Institute of Advanced Research,,Gandhinagar (Gujarat),Status ungeklärt,H +/-,Indien
Institute of Advanced Studies in Education,,Sardarshahr (Rajasthan),Deemed to be University,H+,Indien
Institute of Alternative Medicine and Research,,Kolkata (West Bengal),Nicht anerkannte Hochschule,H -,Indien
Institute of Armament Technology,,Pune (Maharashtra),Deemed to be University,H+,Indien
Institute of Chemical Technology,,Mumbai (Maharashtra),Deemed to be University,H+,Indien
Institute of Infrastructure Technology Research and Management,,Ahmedabad (Gujarat),State University,H+,Indien
Institute of Management and Engineering Studies,,,Nicht anerkannte Hochschule,H -,Indien
Institute of Para Medical Sciences,,Meerut (Uttar Pradesh),Nicht anerkannte Hochschule,H -,Indien
Institute of Teaching and Research in Ayurveda,,Jamnagar (Gujarat),Institution of National Importance,H+,Indien
Integral University,,Lucknow (Uttar Pradesh),Private University,H+,Indien
Intellectual Institute of Management & Technology,,New Delhi (Delhi),Nicht anerkannte Hochschule,H -,Indien
International Institute for Population Sciences,,Mumbai (Maharashtra),Deemed to be University,H+,Indien
International Institute of Information Technology,,Hyderabad (Telangana),Deemed to be University,H+,Indien
International Institute of Information Technology,,Bangalore (Karnataka),Deemed to be University,H+,Indien
"International Institute of Information Technology, Bhubaneswar",,Bhubaneswar (Odisha),State University,H+,Indien
International Sports University,,Pune (Maharashtra),State University,H+,Indien
Invertis University,,Bareilly (Uttar Pradesh),Private University,H+,Indien
ISBM University,,Gariyaband (Chhattisgarh),Status ungeklärt,H +/-,Indien
Islamic University of Science and Technology,,Pulwama (Jammu & Kashmir),State University,H+,Indien
ITM (SLS) Baroda University,,Vadodara (Gujarat),Status ungeklärt,H +/-,Indien
ITM University,,Gwalior (Madhya Pradesh),Private University,H+,Indien
ITM University,,Raipur (Chhattisgarh),Private University,H+,Indien
ITM Vocational University,,Vadodara (Gujarat),Private University,H+,Indien
"J.C. Bose University of Science & Technology, YMCA",,Faridabad (Haryana),State University,H+,Indien
J.S. University ShikohabadJS University,,Shikohabad (Uttar Pradesh),Status ungeklärt,H +/-,Indien
Jadavpur University,,Kolkata (West Bengal),State University,H+,Indien
Jagadgura Rambhadracharya Divyanga UniversityJagadguru Rambhadracharya Handicapped University,,Chitrakoot (Uttar Pradesh),Status ungeklärt,H +/-,Indien
Jagadguru Ramanandacharya Rajasthan Sanskrit UniversityRajasthan Sanskrit University,Rajasthan Sanskrit University,Jaipur (Rajasthan),State University,H+,Indien
Jagan Nath University,,Bahadurgarh (Haryana),Status ungeklärt,H +/-,Indien
Jagannath UniversityJagan Nath University,,Jaipur (Rajasthan),Private University,H+,Indien
Jagat Guru Nanak Dev Punjab State Open University,,Patiala (Punjab),State University,H+,Indien
Jagran Lakecity University,,Bhopal (Madhya Pradesh),Private University,H+,Indien
Jai Narain Vyas University,,Jodhpur (Rajasthan),State University,H+,Indien
Jai Prakash Vishwavidyalaya,,Chhapra (Bihar),State University,H+,Indien
Jain Deemed to be UniversitySri Bhagawan Mahaveer Jain College,,Bangalore (Karnataka),Deemed to be University,H+,Indien
Jain Vishva Bharati Institute,,Ladnun (Rajasthan),Deemed to be University,H+,Indien
Jaipur National University,,Jaipur (Rajasthan),Private University,H+,Indien
Jamia Hamdard,,New Delhi (Delhi),Deemed to be University,H+,Indien
Jamia Millia Islamia,,New Delhi (Delhi),Central University,H+,Indien
Jamshedpur Women’s University,,Jamshedpur (Jharkhand),State University,H+,Indien
Jananayak Chandrashekhar University,,Ballia (Uttar Pradesh),State University,H+,Indien
Janardan Rai Nagar Rajasthan Vidyapeeth,,Udaipur (Rajasthan),Deemed to be University,H+,Indien
Jawaharlal Institute of Post Graduate Medical Education & Research,,Puducherry (Puducherry),Institution of National Importance,H+,Indien
Jawaharlal Nehru Architecture and Fine Arts University,,Hyderabad (Telangana),State University,H+,Indien
Jawaharlal Nehru Centre for Advanced Scientific Research,,Bangalore (Karnataka),Deemed to be University,H+,Indien
Jawaharlal Nehru Krishi Vishwavidyalaya,,Jabalpur (Madhya Pradesh),State University,H+,Indien
Jawaharlal Nehru Technological University,,Hyderabad (Telangana),State University,H+,Indien
Jawaharlal Nehru Technological University,,Kakinada (Andhra Pradesh),State University,H+,Indien
Jawaharlal Nehru Technological University,,Anantapur (Andhra Pradesh),State University,H+,Indien
Jawaharlal Nehru Technological University,,Vizianagram (Andhra Pradesh),State University,H+,Indien
Jawaharlal Nehru University,,New Delhi (Delhi),Central University,H+,Indien
Jayoti Vidyapeeth Women's University,,Jaipur (Rajasthan),Private University,H+,Indien
Jaypee Institute of Information Technology University,,Noida (Uttar Pradesh),Deemed to be University,H+,Indien
Jaypee University,,Anoopshahr (Uttar Pradesh),Status ungeklärt,H +/-,Indien
Jaypee University of Engineering & Technology,,Raghogarh (Madhya Pradesh),Private University,H+,Indien
Jaypee University of Information Technology,,Kandaghat (Himachal Pradesh),Private University,H+,Indien
JECRC University,,Jaipur (Rajasthan),Private University,H+,Indien
Jeppiaar University,,Chennai (Tamil Nadu),Status ungeklärt,H +/-,Indien
JG University,,Gandhinagar (Gujarat),Status ungeklärt,H +/-,Indien
Jharkhand Rai University,,Ranchi (Jharkhand),Private University,H+,Indien
Jharkhand Raksha Shakti University,,Ranchi (Jharkhand),State University,H+,Indien
Jharkhand State Open University,,Ranchi (Jharkhand),State University,H+,Indien
Jharkhand University of Technology,,Ranchi (Jharkhand),State University,H+,Indien
Jigyasa UniversityHimgiri Zee University,,Dehradun (Uttarakhand),Private University,H+,Indien
JIS University,,Kolkata (West Bengal),Private University,H+,Indien
Jiwaji University,,Gwalior (Madhya Pradesh),State University,H+,Indien
JK Lakshmipat University,,Jaipur (Rajasthan),Private University,H+,Indien
Jnana Deepa VidyapeethJnana Deepa Institute of Philosophy and Theology,,Pune (Maharashtra),Katholische Hochschule Kanonischen Rechts,H+,Indien
Jodhpur National University,,Jodhpur (Rajasthan),Nicht anerkannte Hochschule,H -,Indien
JSS Academy of Higher Education & ResearchJagadguru Sri Shivaratheeswara University,,Mysore (Karnataka),Deemed to be University,H+,Indien
JSS Science and Technology UniversitySri Jayachamarajendra College of Engineering,,Mysore (Karnataka),Private University,H+,Indien
Junagadh Agricultural UniversityGujarat Agricultural University,,Junagadh (Gujarat),State University,H+,Indien
K.K. University,,Nalanda (Bihar),Status ungeklärt,H +/-,Indien
K.R. Mangalam University,,Gurugram (Haryana),Private University,H+,Indien
Kadi Sarva Vishwavidyalaya,,Gandhinagar (Gujarat),Status ungeklärt,H +/-,Indien
Kakatiya University,,Warangal (Telangana),State University,H+,Indien
Kalahandi University,,Bhawanipatna (Odisha),State University,H+,Indien
Kalakshetra Foundation,,Chennai (Tamil Nadu),Institution of National Importance,H+,Indien
Kalasalingam Academy of Research and EducationKalasalingam UniversityArulmigu Kalasalingam College of Engineering,,Krishnankoil (Tamil Nadu),Deemed to be University,H+,Indien
Kalinga Institute of Industrial TechnologyKIIT University,,Bhubaneswar (Odisha),Deemed to be University,H+,Indien
Kalinga Institute of Social Sciences,,Bhubaneswar (Odisha),Deemed to be University,H+,Indien
Kalinga University,,Raipur (Chhattisgarh),Private University,H+,Indien
Kaloji Narayana Rao University of Health Sciences,,Warangal (Telangana),State University,H+,Indien
Kamdhenu University,,Gandhinagar (Gujarat),State University,H+,Indien
Kameshwar Singh Darbhanga Sanskrit University,,Darbhanga (Bihar),State University,H+,Indien
Kannada University,,Hampi (Karnataka),State University,H+,Indien
Kannur University,,Kannur (Kerala),State University,H+,Indien
Kanpur Vidyapeeth,,Kanpur (Uttar Pradesh),Nicht anerkannte Hochschule,H -,Indien
Kanyashree University,,Krishnagar (West Bengal),State University,H+,Indien
Karmaveer Bhaurao Patil University,,Satara (Maharashtra),State University,H+,Indien
Karnatak University Dharwad,,Dharwad (Karnataka),State University,H+,Indien
Karnataka Folklore UniversityKarnataka Janapada Vishwavidyalaya,,Haveri (Karnataka),State University,H+,Indien
Karnataka Samskrit University,,Bangalore (Karnataka),State University,H+,Indien
Karnataka State Akkamahadevi Women’s UniversityKarnataka State Women University,,Vijayapura (Karnataka),State University,H+,Indien
Karnataka State Dr. Gangubai Hangal Music and Performing Arts University,,Mysore (Karnataka),State University,H+,Indien
Karnataka State Law University,,Hubli (Karnataka),State University,H+,Indien
Karnataka State Open University,,Mysore (Karnataka),State University,H+,Indien
"Karnataka Veterinary, Animal & Fisheries Science University",,Bidar (Karnataka),State University,H+,Indien
Karnavati University,,Gandhinagar (Gujarat),Private University,H+,Indien
Karpagam Academy of Higher EducationKarpagam University,,Coimbatore (Tamil Nadu),Deemed to be University,H+,Indien
Karunya Institute of Technology and SciencesKarunya University,,Coimbatore (Tamil Nadu),Deemed to be University,H+,Indien
Kaushalya The Skill University,,Ahmedabad (Gujarat),State University,H+,Indien
Kavayitri Bahinabai Chaudhari North Maharashtra UniversityNorth Maharashtra University,,Jalgaon (Maharashtra),State University,H+,Indien
Kavikulaguru Kalidas Sanskrit University,,Nagpur (Maharashtra),State University,H+,Indien
Kazi Nazrul University,,Asansol (West Bengal),State University,H+,Indien
Kaziranga University,,Jorhat (Assam),Private University,H+,Indien
Keladi Shivappa Nayaka University of Agricultural and Horticultural Sciences,,Sagara Taluk (Karnataka),State University,H+,Indien
Kerala Agricultural University,,Thrissur (Kerala),State University,H+,Indien
Kerala Kalamandalam,,Thrissur (Kerala),Deemed to be University,H+,Indien
Kerala University of Fisheries & Ocean Studies,,Kochi (Kerala),State University,H+,Indien
Kerala University of Health Sciences,,Thrissur (Kerala),State University,H+,Indien
Kerala Veterinary and Animal Sciences University,,Wayanad (Kerala),State University,H+,Indien
Kesarwani Vidyapith,,Jabalpur (Madhya Pradesh),Nicht anerkannte Hochschule,H -,Indien
Khaja Bandanawaz University,,Kalaburagi (Karnataka),Status ungeklärt,H +/-,Indien
Khallikote University,,Berhampur (Odisha),State University,H+,Indien
Khangchendzonga State UniversitySikkim State University,,Tadong (Sikkim),State University,H+,Indien
Khongnangthaba University,,Imphal (Manipur),Status ungeklärt,H +/-,Indien
Khwaja Moinuddin Chishti Urdu Arabi~Farsi University,,Lucknow (Uttar Pradesh),State University,H+,Indien
King George´s Medical University,,Lucknow (Uttar Pradesh),State University,H+,Indien
KK Modi University,,Durg (Chhattisgarh),Status ungeklärt,H +/-,Indien
KL Deemed to be UniversityKoneru Lakshmaiah Education Foundation,,Guntur (Andhra Pradesh),Deemed to be University,H+,Indien
KLE Academy of Higher Education and ResearchKLE University,,Belgaum (Karnataka),Deemed to be University,H+,Indien
KLE Technological University,,Hubli (Karnataka),Private University,H+,Indien
Kodagu University,,Kushalnagar (Karnataka),State University,H+,Indien
Kolhan University,,Chaibasa (Jharkhand),State University,H+,Indien
"Koppal University, Government Engineering College",,Koppal (Karnataka),State University,H+,Indien
Krantiguru Shyamji Krishna Verma Kachchh University,,Kachchh (Gujarat),State University,H+,Indien
KREA University,,Sricity (Andhra Pradesh),Status ungeklärt,H +/-,Indien
Krishna Kanta Handiqui State Open UniversityKrishna Kanta Handique State Open University,,Guwahati (Assam),State University,H+,Indien
Krishna University,,Machilipatnam (Andhra Pradesh),State University,H+,Indien
Krishna Vishwa VidyapeethKrishna Institute of Medical Sciences,,Satara (Maharashtra),Deemed to be University,H+,Indien
Krishnaguru Adhyatmik Visvavidyalaya,,Nasatra (Assam),Status ungeklärt,H +/-,Indien
Kumar Bhaskar Varma Sanskrit & Ancient Studies University,,Nalbari (Assam),State University,H+,Indien
Kumaun University,,Nainital (Uttarakhand),State University,H+,Indien
Kurukshetra University,,Kurukshetra (Haryana),State University,H+,Indien
Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya,,Raipur (Chhattisgarh),State University,H+,Indien
Kuvempu University,,Shankaraghatta (Karnataka),State University,H+,Indien
Lakshmibai National Institute of Physical Education,,Gwalior (Madhya Pradesh),Deemed to be University,H+,Indien
Lakulish Yoga University,,Ahmedabad (Gujarat),Private University,H+,Indien
Lala Lajpat Rai University of Veterinary & Animal Scienes,,Hisar (Haryana),State University,H+,Indien
Lalit Narayan Mithila University,,Darbhanga (Bihar),State University,H+,Indien
Lamrin Tech Skills University,,Jalandhar (Punjab),Status ungeklärt,H +/-,Indien
Lingaya’s VidyapeethLingaya's University,,Faridabad (Haryana),Deemed to be University,H+,Indien
LJ UniversityLok Jagruti Kendra University,,Ahmedabad (Gujarat),Status ungeklärt,H +/-,Indien
LNCT University,,Bhopal (Madhya Pradesh),Private University (mit zum Teil anerkannten Abschlüssen),H +/-,Indien
LNM Institute of Information TechnologyLaxmi Niwas Mittal Institute of Information Technology,,Jaipur (Rajasthan),Deemed to be University,H+,Indien
Lokbharati University for Rural Innovation,,Bhavnagar (Gujarat),Status ungeklärt,H +/-,Indien
Lords University,,Alwar (Rajasthan),Private University,H+,Indien
Lovely Professional University,,Phagwara (Punjab),Private University,H+,Indien
M.S. Ramaiah University of Applied Sciences,,Bangalore (Karnataka),Private University,H+,Indien
Maa Shakumbhari UniversitySaharanpur University,,Saharanpur (Uttar Pradesh),State University,H+,Indien
Madan Mohan Malaviya University of Technology,,Gorakhpur (Uttar Pradesh),State University,H+,Indien
Madhabdev University,,Narayanpur (Assam),State University,H+,Indien
Madhav Institute of Technology and Science,,Gwalior (Madhya Pradesh),Deemed to be University,H+,Indien
Madhav University,,Sirohi (Rajasthan),Private University,H+,Indien
Madhusudan Law UniversityMS Law College,,Cuttack (Odisha),State University,H+,Indien
Madhya Pradesh Bhoj (Open) University,,Bhopal (Madhya Pradesh),State University,H+,Indien
Madhya Pradesh Medical Science University,,Jabalpur (Madhya Pradesh),State University,H+,Indien
Madhyanchal Professional University,,Bhopal (Madhya Pradesh),Private University,H+,Indien
Madurai Kamaraj University,,Madurai (Tamil Nadu),State University,H+,Indien
Magadh University,,Bodh Gaya (Bihar),State University,H+,Indien
Maganbhai Adenwala Mahagujarat University,,Nadiad (Gujarat),Status ungeklärt,H +/-,Indien
Mahakaushal University,,Jabalpur (Madhya Pradesh),Status ungeklärt,H +/-,Indien
Mahamaya Technical University,,Noida (Uttar Pradesh),Nicht anerkannte Hochschule,H -,Indien
Mahapurusha Srimanta Sankaradeva Viswavidyalaya,,Nagaon (Assam),Status ungeklärt,H +/-,Indien
Maharaj Vinayak Global University,,Jaipur (Rajasthan),Private University (mit zum Teil anerkannten Abschlüssen),H +/-,Indien
Maharaja Agrasen Himalayan Garhwal UniversityHimalayan Garhwal University,,Pauri Garhwal (Uttarakhand),Status ungeklärt,H +/-,Indien
Maharaja Agrasen University,,Barotiwala (Himachal Pradesh),Private University,H+,Indien
Maharaja Bhupinder Singh Punjab Sports University,,Patiala (Punjab),State University,H+,Indien
Maharaja Bir Bikram University,,Agartala (Tripura),State University,H+,Indien
Maharaja Chhatrasal Bundelkhand University,,Chhatarpur (Madhya Pradesh),State University,H+,Indien
Maharaja Ganga Singh UniversityUniversity of Bikaner,,Bikaner (Rajasthan),State University,H+,Indien
Maharaja Krishnakumarsinhji Bhavnagar UniversityBhavnagar University,,Bhavnagar (Gujarat),State University,H+,Indien
Maharaja Ranjit Singh Punjab Technical University,,Bathinda (Punjab),State University,H+,Indien
Maharaja Sayajirao University of Baroda,,Vadodara (Gujarat),State University,H+,Indien
Maharaja Sriram Chandra Bhanja Deo UniversityNorth Orissa University,,Baripada (Odisha),State University,H+,Indien
Maharaja Suhel Dev State UniversityAzamgarh State University,,Azamgarh (Uttar Pradesh),State University,H+,Indien
Maharaja Surajmal Brij University,,Bharatpur (Rajasthan),State University,H+,Indien
Maharana Patap Shiksha Niketan Vishwavidyalaya,,Pratapgarh (Uttar Pradesh),Nicht anerkannte Hochschule,H -,Indien
Maharana Pratap Horticultural University,,Karnal (Haryana),State University,H+,Indien
Maharana Pratap University of Agriculture & Technology,,Udaipur (Rajasthan),State University,H+,Indien
Maharani Cluster University,,Bengaluru (Karnataka),State University,H+,Indien
Maharashtra Animal & Fishery Sciences University,,Nagpur (Maharashtra),State University,H+,Indien
Maharashtra National Law University,,Aurangabad (Maharashtra),State University,H+,Indien
Maharashtra National Law University Mumbai,,Mumbai (Maharashtra),State University,H+,Indien
"Maharashtra National Law University, Nagpur",,Nagpur (Maharashtra),State University,H+,Indien
Maharashtra University of Health Sciences,,Nashik (Maharashtra),State University,H+,Indien
Maharishi Arvind University,,Jaipur (Rajasthan),Status ungeklärt,H +/-,Indien
Maharishi Mahesh Yogi Vedic Vishwavidyalaya,,Jabalpur (Madhya Pradesh),Private University,H+,Indien
Maharishi Markandeshwar,,Mullana-Ambala (Haryana),Deemed to be University,H+,Indien
Maharishi Markandeshwar University,,Ambala (Haryana),Private University,H+,Indien
"Maharishi Markandeshwar University, Solan",,Kumarhatti (Himachal Pradesh),Private University,H+,Indien
Maharishi University of Information Technology,,Lucknow (Uttar Pradesh),Status ungeklärt,H +/-,Indien
Maharishi University of Management and Technology,,Bilaspur (Chhattisgarh),Status ungeklärt,H +/-,Indien
Maharishi Valmiki Sanskrit University,,Kaithal (Haryana),State University,H+,Indien
Maharshi Dayanand Saraswati University,,Ajmer (Rajasthan),State University,H+,Indien
Maharshi Dayanand University,,Rohtak (Haryana),State University,H+,Indien
Maharshi Panini Sanskrit Evam Vedic VishwavidhyalayaMaharishi Panini Sanskrit Evam Vedic VishwavidyalayaMaharshi Panini Sanskrit University,,Ujjain (Madhya Pradesh),State University,H+,Indien
Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya,,Wardha (Maharashtra),Central University,H+,Indien
Mahatma Gandhi Central University,,Motihari (Bihar),Central University,H+,Indien
Mahatma Gandhi Chitrakoot Gramoday Vishwavidyalaya,,Chitrakoot (Madhya Pradesh),State University,H+,Indien
Mahatma Gandhi Kashi VidyapithMahatma Gandhi Kashi Vidyapeeth,,Varanasi (Uttar Pradesh),State University,H+,Indien
Mahatma Gandhi Rural Development and Panchayat Raj UniversityKarnataka State Rural Development and Panchayat Raj University,,Gadag (Karnataka),State University,H+,Indien
Mahatma Gandhi Udyanikee Evam Vanikee VishwavidyalayaMahatma Gandhi University of Horticulture and Forestry,,Durg (Chhattisgarh),State University,H+,Indien
Mahatma Gandhi University of Medical Sciences & Technology,,Jaipur (Rajasthan),Private University,H+,Indien
"Mahatma Gandhi University, Kerala",,Kottayam (Kerala),State University,H+,Indien
"Mahatma Gandhi University, Meghalaya",,Khanapara (Meghalaya),Status ungeklärt,H +/-,Indien
"Mahatma Gandhi University, TelanganaIn der offiziellen UGC-Liste unter dem Bundesstaat ""Telangana"" gelistet.",,Nalgonda (Telangana),State University,H+,Indien
"Mahatma Gandhi University, West BengalPurba Medinipur University",,Purba Medinipur (West Bengal),State University,H+,Indien
Mahatma Jyoti Rao Phoole University,,Jaipur (Rajasthan),Nicht anerkannte Hochschule,H -,Indien
Mahatma Jyotiba Phule Rohilkhand University,,Bareilly (Uttar Pradesh),State University,H+,Indien
Mahatma Phule Krishi Vidyapeeth,,Rahuri (Maharashtra),State University,H+,Indien
Mahayogi Gorakhnath University,,Gorakhpur (Uttar Pradesh),Private University,H+,Indien
Mahila Gram Vidyapith/Vishwavidyalaya (Women's University),,Allahabad (Uttar Pradesh),Nicht anerkannte Hochschule,H -,Indien
